Gene	fit_value	Predicted_Proximal_APA	Loci	209_1_CP	209_1_VZ	209_2_CP	209_2_VZ	209_3_CP	209_3_VZ	209_4_CP	209_4_VZ	334_1_CP	334_1_VZ	334_2_CP	334_2_VZ	334_3_CP	334_3_VZ	334_4_CP	334_4_VZ	336_1_CP	336_1_VZ	336_2_CP	336_2_VZ	336_3_CP	336_3_VZ	336_4_CP	336_4_VZ
NM_001377276.1|PER3|chr1|+	0.9	7902883	chr1:7902732-7905237	1	1	1	1	NA	1	1	1	1	1	1	1	NA	1	0.93	1	NA	1	NA	NA	NA	1	NA	1
NM_012102.4|RERE|chr1|-	67.2	8415029	chr1:8412464-8415180	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001009566.3|CLSTN1|chr1|-	7.8	9790037	chr1:9789172-9790763	0.97	0.96	0.99	0.95	0.98	0.95	0.99	1	0.97	0.98	1	0.98	0.96	0.96	0.99	0.94	0.98	0.98	0.99	0.97	0.98	1	0.98	0.96
NM_001302883.1|CLSTN1|chr1|-	7.8	9790037	chr1:9789172-9790763	0.97	0.96	0.99	0.95	0.98	0.95	0.99	1	0.97	0.98	1	0.98	0.96	0.96	0.99	0.94	0.98	0.98	0.99	0.97	0.98	1	0.98	0.96
NM_020248.3|CTNNBIP1|chr1|-	6.2	9910167	chr1:9908334-9910834	1	0.99	1	1	1	1	1	1	0.99	0.98	1	0.96	0.99	0.98	1	0.97	1	0.95	1	0.96	0.99	0.97	1	0.97
NM_006048.5|UBE4B|chr1|+	1.2	10240658	chr1:10239953-10241297	0.93	0.85	0.83	0.73	0.85	0.81	0.82	0.89	0.82	0.77	0.92	0.79	0.91	0.77	0.88	0.69	0.85	0.78	0.81	0.75	0.87	0.74	0.85	0.74
NM_183416.4|KIF1B|chr1|+	35.9	10366815	chr1:10363221-10368655	0.04	0.06	0.07	0.08	0.08	0.06	0	0.06	0	0.05	NA	0.1	0.06	0.06	0.05	0.05	0.05	0.09	0	0.1	NA	0.08	NA	0.1
NM_001365951.3|KIF1B|chr1|+	2206.1	10436754	chr1:10436603-10441661	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_004565.3|PEX14|chr1|+	0.3	10690065	chr1:10689588-10690815	0.95	NA	1	NA	1	NA	0.96	NA	1	1	0.99	1	1	1	0.98	0.98	1	1	1	1	0.97	1	0.96	1
NM_001386500.1|MTOR|chr1|-	1.9	11167406	chr1:11166592-11167557	0.97	1	0.98	1	1	1	0.98	1	1	1	1	1	1	1	1	1	0.99	1	1	1	1	0.98	1	1
NM_001127660.2|MFN2|chr1|+	13.3	12071704	chr1:12071553-12073565	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_018156.4|VPS13D|chr1|+	4.2	12570415	chr1:12568947-12572099	0.98	0.73	0.83	1	0.93	0.91	0.86	0.79	0.89	0.52	0.84	0.88	0.69	0.65	0.58	0.57	0.76	0.71	0.55	0.37	0.86	0.73	0.75	0.5
NM_001370230.1|KAZN|chr1|+	5	15393056	chr1:15392126-15394651	0.33	NA	0.1	NA	0.07	NA	0.49	NA	0.26	0	0.25	0	NA	NA	0.94	NA	0.14	NA	0	NA	0.12	NA	0.37	NA
NM_201628.3|KAZN|chr1|+	0.1	15444454	chr1:15444303-15444539	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99	1	1	1	0.96
NM_001018000.4|KAZN|chr1|+	5	15393056	chr1:15392126-15394648	0.33	NA	0.1	NA	0.07	NA	0.49	NA	0.26	0	0.25	0	NA	NA	0.94	NA	0.14	NA	0	NA	0.12	NA	0.37	NA
NM_001287811.2|DNAJC16|chr1|+	1.3	15895690	chr1:15894273-15898194	1	NA	NA	NA	0.92	NA	1	NA	0.88	0.81	0.9	NA	NA	0.99	NA	NA	NA	0.53	NA	NA	NA	NA	NA	0.71
NM_032341.5|DDI2|chr1|+	11.2	15988527	chr1:15986332-15995539	0.28	NA	0.31	NA	0.22	NA	0.34	0.34	0.22	0.24	0.22	0.15	0.22	0.23	0.33	0.23	0.11	0.25	0.37	0.19	0.15	NA	0.07	0.3
NM_018994.3|FBXO42|chr1|-	22	16577149	chr1:16573335-16578280	0.39	0.26	0.55	0.26	0.45	0.23	0.44	0.25	0.12	0.11	0.13	0.12	0.21	0.13	0.27	0.1	0.15	0.08	0.16	0.08	0.16	0.11	0.2	0.11
NM_017940.6|NBPF1|chr1|-	20.6	16890530	chr1:16888818-16890681	0.94	0.89	0.95	0.93	0.92	0.96	0.98	0.91	0.95	0.89	1	1	1	1	1	1	0.77	0.92	1	1	0.93	1	0.91	1
NM_002403.4|MFAP2|chr1|-	0.3	17301367	chr1:17300997-17301518	NA	0.98	NA	1	NA	1	NA	1	NA	1	NA	0.99	1	1	1	1	NA	1	NA	1	NA	1	NA	1
NM_018125.4|ARHGEF10L|chr1|+	0.9	18023494	chr1:18023343-18024364	0.99	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001319837.1|ARHGEF10L|chr1|+	0.9	18023494	chr1:18023343-18024370	0.99	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_032880.5|IGSF21|chr1|+	0.2	18704906	chr1:18704750-18704977	1	NA	1	NA	1	NA	1	NA	0.97	NA	0.98	1	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA
NM_020765.3|UBR4|chr1|-	0.4	19401239	chr1:19401004-19401390	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99	1	1	1	1	1	1	1	1
NM_001282162.2|CAPZB|chr1|-	12.8	19665638	chr1:19665269-19666111	0.95	0.92	0.95	0.93	0.95	0.92	0.92	0.91	0.88	0.88	0.92	0.85	0.92	0.93	0.9	0.89	0.9	0.92	0.94	0.88	0.94	0.89	0.94	0.94
NM_001376788.1|HP1BP3|chr1|-	1205.2	21069626	chr1:21066759-21071584	0.07	0.03	0.08	0.05	0.09	0.04	0.08	0.03	0.09	0.09	0.09	0.09	0.1	0.09	0.09	0.09	0.09	0.09	0.11	0.1	0.1	0.09	0.11	0.1
NM_016287.5|HP1BP3|chr1|-	172.7	21070787	chr1:21069172-21071584	0.94	0.96	0.96	0.97	0.96	0.96	0.96	0.95	0.92	0.92	0.9	0.88	0.91	0.91	0.91	0.89	0.83	0.91	0.78	0.93	0.83	0.93	0.79	0.92
NM_001376796.1|HP1BP3|chr1|-	0.7	21080975	chr1:21080549-21081897	0.87	0.83	NA	0.68	0.77	0.83	0.87	0.84	0.86	0.92	1	0.92	0.73	0.94	0.83	0.9	0.84	0.96	0.8	0.83	0.86	0.87	0.8	0.83
NM_003760.4|EIF4G3|chr1|-	38.8	21133524	chr1:21132785-21133993	0.4	0.27	0.34	0.25	0.4	0.31	0.32	0.27	0.39	0.31	0.41	0.22	0.31	0.3	0.34	0.22	0.31	0.4	0.29	0.23	0.44	0.3	0.27	0.51
NM_001113348.2|ECE1|chr1|-	2.9	21545097	chr1:21543743-21546624	0.6	0.5	0.48	0.36	0.77	0.54	0.54	0.4	0.7	0.47	0.61	0.55	0.42	0.46	0.65	0.51	0.63	0.63	0.61	0.6	0.6	0.76	0.58	0.58
NM_044472.3|CDC42|chr1|+	13.4	22416616	chr1:22416436-22417300	0.94	0.96	0.95	0.88	0.97	0.95	0.95	0.9	0.96	0.97	0.96	0.97	0.95	1	0.96	0.94	0.98	0.96	1	0.97	0.99	0.97	0.97	0.97
NM_001791.4|CDC42|chr1|+	69.5	22419435	chr1:22417921-22427853	0.01	0	0.01	0.02	0.01	0.01	0.01	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01
NM_001330398.2|ZBTB40|chr1|+	13.2	22854918	chr1:22852695-22857647	1	0.65	1	NA	1	NA	1	NA	1	0.68	0.92	0.93	NA	1	0.8	0.78	0.85	0.62	NA	NA	NA	NA	NA	NA
NM_004091.4|E2F2|chr1|-	4.8	23836489	chr1:23832930-23836640	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1
NM_001322854.2|NIPAL3|chr1|+	2.7	24798068	chr1:24795476-24799466	0.11	0.14	0.16	0.08	0.14	0.17	0.06	0.11	0.32	0.12	0.22	0.15	0.25	0.14	0.2	0.15	0.41	0.3	0.11	0.29	0.37	0.25	0.17	0.25
NM_001322857.1|NIPAL3|chr1|+	2.7	24798068	chr1:24795476-24799473	0.11	0.14	0.16	0.08	0.14	0.17	0.06	0.11	0.32	0.11	0.22	0.15	0.25	0.14	0.2	0.15	0.41	0.3	0.1	0.29	0.36	0.25	0.17	0.25
NM_001282564.2|MACO1|chr1|+	27.1	25825221	chr1:25824755-25826700	0.54	0.74	0.55	0.63	0.58	0.68	0.6	0.69	0.7	0.49	0.6	0.55	0.54	0.45	0.52	0.55	0.5	0.52	0.37	0.48	0.43	0.43	0.54	0.54
NM_031286.4|SH3BGRL3|chr1|+	0.1	26607729	chr1:26607549-26608013	1	NA	1	NA	1	NA	1	NA	0.97	1	1	0.98	1	1	1	1	0.97	1	1	1	1	1	1	1
NM_032125.3|TMEM222|chr1|+	0.6	27662021	chr1:27661870-27662891	0.96	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_006990.5|WASF2|chr1|-	13.7	27732125	chr1:27730734-27734840	0.03	0.03	0.03	0.06	0.01	0.02	0.05	0.02	0.03	0.03	0.06	0.04	0.02	0.06	0.05	0.02	0.01	0.02	0.09	0.08	0.09	0.03	0.03	0.04
NM_001029882.3|AHDC1|chr1|-	4.9	27861191	chr1:27860756-27861427	0.13	0.1	0.2	0.06	0.21	0.24	0.27	0.05	0.23	0.11	0.1	0.13	0.21	0.17	0.12	0.23	0.14	0.17	0.14	0.19	0.12	0.42	0.18	0.44
NM_001048183.3|PHACTR4|chr1|+	56.7	28824041	chr1:28823046-28826876	0.05	0.13	0.12	0.11	0.1	0.14	0.09	0.09	0.1	0.09	0.08	0.08	0.11	0.12	0.12	0.12	0.15	0.1	0.08	0.12	0.09	0.09	0.09	0.1
NR_002909.2|SNHG3|chr1|+	1.4	28836144	chr1:28835342-28837404	NA	NA	NA	NA	0.67	NA	NA	NA	0.79	0.66	0.66	0.47	NA	NA	0.81	0.52	NA	0.23	0.9	0.14	0.49	0.12	0.5	0.56
NM_001381866.2|RCC1|chr1|+	0.4	28864743	chr1:28864344-28865501	1	1	0.94	1	0.99	0.98	0.94	0.95	0.99	0.98	0.97	0.99	1	0.99	0.98	1	1	1	0.96	0.98	0.97	0.99	0.98	0.96
NM_001135218.2|TAF12|chr1|-	0.3	28929611	chr1:28929362-28930086	0.28	NA	0.09	NA	NA	NA	0.09	NA	NA	0.08	0.09	0.06	NA	0.16	NA	0	NA	NA	NA	0.18	0	0.07	0.14	0.01
NM_005626.5|SRSF4|chr1|-	4.9	29475233	chr1:29474255-29475738	0.99	0.96	0.99	0.99	0.99	0.99	1	0.99	0.98	0.98	0.99	0.99	0.97	0.95	0.98	0.96	0.99	0.98	0.96	0.97	0.96	0.99	0.96	1
NM_001195001.2|PTPRU|chr1|+	1.1	29652262	chr1:29652111-29653312	1	NA	0.99	NA	0.99	NA	0.99	NA	1	1	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA
NM_001369859.1|PTP4A2|chr1|-	22.8	32373854	chr1:32372022-32374561	0.09	0.12	0.05	0.02	0.15	0.06	0.03	0.15	0.28	0.05	0.13	0.06	0.04	0.1	0.09	0.08	0.18	0.29	0.14	0.15	0.11	0.12	0.15	0.17
NM_012316.5|KPNA6|chr1|+	19.1	32638774	chr1:32636308-32642164	0.12	0.14	0.13	0.17	0.18	0.24	0.09	0.11	0.07	0.09	0.16	0.25	0.16	0.37	0.07	0.18	0.12	0.18	0.13	0.04	0.19	0.13	0.2	0.15
NM_004964.3|HDAC1|chr1|+	0.2	32798775	chr1:32798618-32799227	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99	NA	1	NA	1	1	1
NM_001291496.2|ZBTB8A|chr1|+	17.8	33066654	chr1:33065869-33071542	0.08	0.11	0.07	0.05	0.07	0.04	0.07	0.07	0.08	0.05	0.08	0.04	0.05	0.05	0.05	0.04	0.05	0.05	0.07	0.05	0.04	0.05	0.04	0.08
NM_001040441.3|ZBTB8A|chr1|+	18.3	33066654	chr1:33065688-33071542	0.08	0.12	0.07	0.05	0.07	0.04	0.07	0.07	0.08	0.05	0.08	0.04	0.05	0.05	0.05	0.04	0.05	0.05	0.06	0.05	0.04	0.05	0.04	0.08
NM_001256121.2|S100PBP|chr1|+	14.1	33321784	chr1:33321525-33324476	1	1	1	1	1	1	1	0.99	0.99	1	0.98	1	1	1	1	0.95	1	0.99	0.77	0.98	1	0.99	1	0.95
NR_135106.1|S100PBP|chr1|+	14.1	33321784	chr1:33321525-33324480	1	1	1	1	1	1	1	0.99	0.99	1	0.98	1	1	1	1	0.95	1	0.99	0.77	0.98	1	0.99	1	0.95
NM_001385120.1|PHC2|chr1|-	3.6	33790469	chr1:33789227-33790620	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99	1
NM_001080418.3|DLGAP3|chr1|-	0.6	35331751	chr1:35331037-35331902	1	NA	1	NA	1	NA	1	NA	1	NA	0.99	NA	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA
NM_001375653.1|ZMYM4|chr1|+	5.1	35885780	chr1:35885071-35887545	0.88	0.96	0.89	0.82	0.88	0.95	0.93	0.72	0.86	0.85	0.97	0.85	0.88	0.74	0.82	0.85	0.87	0.75	0.88	0.83	0.91	0.89	0.86	0.89
NM_005095.3|ZMYM4|chr1|+	17.5	35885780	chr1:35885071-35887659	0.87	0.94	0.88	0.81	0.86	0.93	0.91	0.7	0.84	0.84	0.95	0.85	0.87	0.73	0.8	0.83	0.85	0.74	0.87	0.81	0.89	0.87	0.84	0.87
NM_024874.5|KIAA0319L|chr1|-	201.7	35899869	chr1:35899093-35900682	0.27	0.18	0.2	0.25	0.24	0.21	0.22	0.25	0.22	0.2	0.25	0.23	0.28	0.19	0.28	0.21	0.23	0.32	0.27	0.24	0.18	0.32	0.21	0.31
NR_146062.2|AGO4|chr1|+	13.3	36321454	chr1:36321303-36323491	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.95	1	1	1	1
NM_017629.4|AGO4|chr1|+	77.1	36319249	chr1:36319098-36323491	1	NA	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	1	NA	1	1
NM_177422.3|AGO3|chr1|+	13.5	36521673	chr1:36521238-36538101	0.08	0.06	0.08	0.07	0.07	0.09	0.14	0.08	0.04	0.01	0.09	0.02	0.11	0.02	0.07	0.03	0.04	0.03	0.06	0.05	0.08	0.05	0.1	0.06
NM_032017.3|STK40|chr1|-	2.7	36807423	chr1:36805229-36807574	1	0.99	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_024700.4|SNIP1|chr1|-	4	38002165	chr1:38000050-38003613	0.15	0.07	0.15	0.06	0.12	NA	0.12	0.04	0.09	0.07	0.05	0.03	0.08	0.07	0.06	0.06	0.12	0.1	0.03	0.05	0.08	0.05	0.05	0.12
NM_001350228.1|INPP5B|chr1|-	5.2	38327598	chr1:38326369-38328102	0.71	0.68	0.61	0.7	0.77	0.74	0.8	0.57	0.7	0.67	0.58	0.58	0.54	0.5	0.64	0.64	0.65	0.71	0.72	0.67	0.56	0.67	0.71	0.63
NM_022157.4|RRAGC|chr1|-	0.5	39305020	chr1:39303870-39305376	NA	NA	0.34	0.23	NA	0.09	NA	NA	0.4	0.11	0.22	0.22	0.5	0.21	0.23	0.2	0.25	NA	0.12	0.19	0.09	NA	0.27	0.15
NM_012421.4|RLF|chr1|+	54.8	40702138	chr1:40701464-40706593	0.56	0.52	0.52	0.43	0.56	0.33	0.43	0.45	0.47	0.48	0.35	0.25	0.28	0.2	0.41	0.32	0.4	0.5	0.26	0.43	0.29	0.39	0.27	0.31
NM_001031694.2|SCMH1|chr1|-	1.1	41493429	chr1:41492871-41493991	0.96	0.9	0.95	0.89	0.96	0.87	0.92	0.96	0.9	0.93	0.89	0.91	0.86	0.86	0.89	0.91	0.89	0.92	0.87	0.96	0.84	0.92	0.87	0.93
NM_001172221.2|SCMH1|chr1|-	1.1	41493429	chr1:41492874-41493991	0.96	0.9	0.95	0.89	0.96	0.87	0.92	0.96	0.9	0.93	0.89	0.91	0.86	0.86	0.89	0.91	0.89	0.92	0.87	0.96	0.84	0.92	0.87	0.93
NM_001198851.2|FOXJ3|chr1|-	167.4	42645345	chr1:42642219-42645496	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_173642.4|RIMKLA|chr1|+	195.4	42882166	chr1:42880155-42889903	0.3	0.21	0.26	0.13	0.29	0.21	0.24	0.26	0.14	0.12	0.09	0.1	0.09	0.1	0.11	0.06	0.08	0.09	0.06	0.1	0.07	0.08	0.05	0.1
NM_001253357.2|TIE1|chr1|+	0.1	43788473	chr1:43788322-43788779	1	NA	1	1	1	NA	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_015284.4|SZT2|chr1|+	1	43916159	chr1:43916008-43916660	1	1	1	1	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	1	1
NM_001270462.3|ST3GAL3|chr1|+	0.6	44395955	chr1:44395804-44396831	0.99	1	1	1	1	1	0.99	1	0.99	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_014652.4|IPO13|chr1|+	3.3	44433424	chr1:44433258-44433694	0.33	0.39	0.3	0.42	0.31	0.3	0.32	0.29	0.31	0.36	0.28	0.35	0.27	0.3	0.33	0.4	0.33	0.37	0.29	0.44	0.21	0.35	0.34	0.38
NM_024066.3|ERI3|chr1|-	0.4	44687161	chr1:44686742-44687312	1	1	0.99	0.98	1	1	0.99	0.98	1	0.99	1	1	1	1	1	1	0.99	0.99	1	0.99	1	1	1	1
NM_001297655.2|KIF2C|chr1|+	1.1	45232920	chr1:45232769-45233439	NA	0.96	0.95	0.98	NA	1	NA	0.98	1	1	0.97	0.98	0.98	0.98	1	0.99	1	0.99	NA	0.97	NA	0.99	0.95	1
NM_020365.5|EIF2B3|chr1|-	16.6	45316512	chr1:45316194-45316675	0.36	0.15	0.19	0.16	0.25	NA	0.24	0.13	0.17	0.1	0.15	0.08	0.16	0.06	0.25	0.17	0.2	0.12	0.13	0.14	0.11	0.08	0.2	0.21
NM_001166588.3|EIF2B3|chr1|-	22.5	45340347	chr1:45340199-45340498	0.31	0.38	0.22	0.34	0.34	0.56	0.23	0.29	0.08	0.3	0.14	0.22	0.14	0.25	0.14	0.18	0.18	0.19	0.22	0.24	0.23	0.26	0.18	0.34
NM_020883.2|ZSWIM5|chr1|-	11.7	45484837	chr1:45482071-45484988	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1
NM_001319245.2|MAST2|chr1|+	3.8	46500361	chr1:46500210-46501794	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001328651.1|PIK3R3|chr1|-	30.4	46508365	chr1:46505812-46509543	1	1	1	1	1	1	1	1	0.99	1	0.98	0.88	1	0.98	0.99	0.87	0.95	0.93	0.88	1	0.96	0.79	0.88	0.94
NM_001290129.2|POMGNT1|chr1|-	0.4	46654499	chr1:46654355-46654652	1	1	1	1	1	1	1	1	1	1	1	1	0.98	0.99	1	1	1	1	0.99	0.99	1	1	0.99	0.99
NM_017739.4|POMGNT1|chr1|-	13.1	46654878	chr1:46654355-46655029	1	1	0.98	0.97	1	1	1	0.98	1	0.99	1	1	1	1	0.99	0.98	0.99	0.98	1	0.94	0.97	0.99	0.98	1
NM_001377375.1|MKNK1|chr1|-	0.1	47024321	chr1:47023079-47024472	1	1	1	1	0.95	1	NA	1	1	1	1	1	1	1	1	0.97	1	1	NA	1	NA	1	1	1
NM_001320289.2|CYP4X1|chr1|+	0.2	47516226	chr1:47515672-47516423	0.98	NA	0.98	NA	0.95	NA	0.98	NA	0.89	NA	1	NA	0.99	NA	0.9	NA	0.98	NA	0.95	NA	0.94	NA	0.96	NA
NM_001136140.2|CMPK1|chr1|+	14.9	47843445	chr1:47842376-47844511	0.89	0.99	0.83	0.93	0.86	0.93	0.86	0.94	0.92	0.82	0.9	0.8	0.88	0.69	0.91	0.78	0.75	0.92	0.77	0.94	0.81	0.9	0.73	0.89
NM_019073.4|SPATA6|chr1|-	0.9	48763165	chr1:48761045-48764565	NA	0.64	NA	0.73	NA	NA	NA	NA	NA	NA	NA	0.6	NA	0.49	NA	0.51	NA	0.79	NA	NA	NA	0.78	NA	0.7
NM_001144777.3|ELAVL4|chr1|+	84.1	50667054	chr1:50666523-50669444	0.05	0.03	0.05	0.02	0.06	0.05	0.09	0.04	0.07	0.05	0.05	0.05	0.07	0.05	0.06	0.04	0.06	0.06	0.05	0.03	0.06	0.05	0.03	0.04
NM_001324208.2|ELAVL4|chr1|+	461.2	50667054	chr1:50666481-50669444	0.05	0.03	0.05	0.02	0.07	0.05	0.1	0.05	0.07	0.05	0.06	0.05	0.08	0.05	0.06	0.05	0.07	0.06	0.06	0.04	0.06	0.05	0.04	0.04
NM_001324216.1|ELAVL4|chr1|+	0.5	50645811	chr1:50645216-50646972	0.38	0.09	0.23	0.14	0.22	0.14	0.25	0.03	0.25	0.23	0.29	0.22	0.28	0.45	0.21	0.21	0.46	0.27	0.17	0.21	0.42	0.17	0.43	0.16
NM_001981.3|EPS15|chr1|-	9.4	51820909	chr1:51819935-51822518	0.14	0.08	0.15	0.11	0.22	0.19	0.24	0.1	0.21	0.19	0.21	0.11	0.17	0.15	0.24	0.18	0.27	0.24	0.3	0.22	0.28	0.09	0.31	0.15
NM_148906.3|OSBPL9|chr1|+	171.4	52254069	chr1:52253387-52254882	0.09	0.15	0.1	0.1	0.09	0.12	0.09	0.09	0.15	0.08	0.12	0.07	0.09	0.09	0.08	0.06	0.08	0.09	0.09	0.06	0.07	0.08	0.07	0.06
NM_001242361.2|NRDC|chr1|-	5.3	52254954	chr1:52254891-52255105	0.99	0.99	0.99	0.99	0.99	1	0.99	1	0.99	1	0.99	1	0.99	1	0.99	1	0.99	1	0.99	1	0.99	0.99	1	1
NM_007324.5|ZFYVE9|chr1|+	3.9	52811883	chr1:52811732-52812306	1	0.95	0.96	0.94	0.94	0.97	0.95	0.96	1	1	1	0.81	1	1	0.97	0.96	1	0.87	1	1	1	1	1	0.88
NM_032449.3|CC2D1B|chr1|-	8.7	52818208	chr1:52816269-52819319	0.07	NA	0.2	NA	0.34	NA	0.17	NA	0.09	0.07	0.14	0.05	NA	0.24	0.24	0.14	0.08	0.04	NA	0	0.07	NA	0	0
NM_001330585.2|CC2D1B|chr1|-	1.4	52818208	chr1:52816269-52818895	0.06	NA	0.17	NA	0.29	NA	0.14	NA	0.08	0.05	0.12	0.05	NA	0.18	NA	0.11	0.06	0.04	NA	0	0.06	NA	0	NA
NM_015269.2|TUT4|chr1|-	25.7	52889122	chr1:52888947-52889674	0.85	0.91	0.87	0.85	0.88	0.94	0.86	0.9	0.85	0.87	0.86	0.84	0.87	0.92	0.82	0.85	0.82	0.87	0.83	0.93	0.78	0.87	0.85	0.91
NM_024646.3|ZYG11B|chr1|+	213.8	53288963	chr1:53287111-53293008	0.25	0.21	0.28	0.26	0.33	0.32	0.33	0.23	0.14	0.19	0.23	0.27	0.33	0.24	0.18	0.29	0.14	0.19	0.28	0.3	0.29	0.2	0.23	0.17
NM_004631.5|LRP8|chr1|-	93.5	53712239	chr1:53708455-53712728	0.28	0.23	0.29	0.28	0.18	0.21	0.32	0.27	0.46	0.45	0.27	0.25	0.34	0.3	0.29	0.27	0.29	0.26	0.44	0.24	0.19	0.21	0.22	0.3
NM_018087.5|NDC1|chr1|-	3.1	54233393	chr1:54231151-54233706	1	1	1	1	1	1	1	1	1	0.9	0.94	0.87	0.98	0.86	0.96	0.96	1	0.98	1	1	1	0.92	0.97	0.92
NM_016126.4|HSPB11|chr1|-	0.1	54387289	chr1:54387234-54387440	1	1	1	0.99	0.99	1	1	1	1	1	1	0.99	1	1	1	1	1	1	1	1	1	1	1	1
NM_001031672.4|CYB5RL|chr1|-	0.7	54638028	chr1:54635324-54640495	0.12	NA	0	NA	0	0.03	NA	NA	0.15	0	NA	0	NA	0.01	NA	0.01	0	0.06	NA	0	NA	NA	0.13	0.04
NM_145716.4|SSBP3|chr1|-	9.6	54692355	chr1:54691162-54692833	0.37	0.21	0.53	0.13	0.78	0.57	0.54	0.33	0.42	0.37	0.36	0.35	0.51	0.4	0.48	0.43	0.48	0.37	0.54	0.39	0.41	0.36	0.51	0.39
NR_037640.2|MROH7-TTC4|chr1|+	5.2	55207979	chr1:55207084-55208330	0.2	0.11	0.22	0.18	0.24	0.24	0.19	0.17	0.22	0.21	0.28	0.14	0.25	0.09	0.29	0.17	0.22	0.26	0.14	0.22	0.14	0.23	0.16	0.23
NM_003713.5|PLPP3|chr1|-	1.2	56962105	chr1:56960433-56962348	NA	0.08	NA	0.09	NA	0.19	NA	0.39	NA	0.22	NA	0.15	0.18	0.15	NA	0.12	NA	0.27	0	0.22	0	0.23	NA	0.22
NM_006252.4|PRKAA2|chr1|+	5.9	57173817	chr1:57173148-57181008	0.31	NA	0.47	NA	0.28	NA	0.29	NA	0.44	0.16	0.42	0.12	0.17	0.13	0.31	0.23	0.23	NA	0.24	NA	0.08	NA	0.2	0.25
NM_015888.6|HOOK1|chr1|+	2.8	60338642	chr1:60338467-60341994	0.18	NA	0.16	NA	NA	NA	0.2	NA	NA	NA	NA	NA	0.08	NA	0.2	NA	0.19	NA	0.1	NA	NA	NA	0.08	NA
NM_001367561.1|DOCK7|chr1|-	4.6	62920683	chr1:62920397-62921127	0.05	0.05	0.03	0.06	0.06	0.04	0	0.06	0.06	0.01	0.02	0.04	0.05	0.04	0.01	0.05	0.06	0.03	0.05	0.05	0.07	0.07	0.03	0.03
NM_178221.3|ATG4C|chr1|+	12.8	63330821	chr1:63329663-63331187	0.26	0.26	0.29	0.26	0.24	0.2	0.3	0.08	0.39	0.21	0.14	0.11	0.3	0.25	0.14	0.19	0.24	0.13	0.12	0.14	0.26	0.05	0.16	0.16
NM_002633.3|PGM1|chr1|+	0.2	64125408	chr1:64125257-64125916	1	1	1	1	1	1	0.98	1	1	1	1	1	1	1	1	0.99	1	1	1	1	1	1	1	1
NM_001083592.2|ROR1|chr1|+	0	64608333	chr1:64608088-64609068	NA	0.14	NA	0.17	NA	0.15	NA	0.15	NA	0.17	0.09	0.09	NA	0.22	NA	0.13	NA	0.25	NA	0.17	NA	0.23	NA	0.37
NM_005012.4|ROR1|chr1|+	0.2	64644707	chr1:64643111-64647181	NA	0.08	NA	0	NA	0.08	NA	0.1	NA	0.06	NA	0	NA	0.03	NA	0.02	NA	0.05	NA	NA	NA	0.05	NA	0
NM_001366165.1|RAVER2|chr1|+	2.1	65296791	chr1:65296522-65298912	NA	0.84	NA	1	NA	1	NA	1	NA	1	NA	1	NA	0.91	0.92	1	NA	1	NA	NA	NA	NA	NA	0.98
NM_001321855.2|JAK1|chr1|-	0.8	65299935	chr1:65298915-65300340	1	1	0.99	0.99	0.98	1	0.99	1	1	1	0.99	1	1	1	1	0.99	1	1	1	0.98	1	1	1	1
